,H,RBI,AVG,OBP,SLG,OPS,ISO,XBH+
0,163,97,0.293,0.381,0.51,0.89,0.217,0.1362940275650842
1,183,83,0.301,0.344,0.499,0.843,0.198,0.1198786039453717
2,144,87,0.28,0.403,0.547,0.949,0.267,0.0649762282091917
3,175,100,0.304,0.378,0.536,0.914,0.231,0.0950920245398773
5,181,95,0.319,0.368,0.488,0.856,0.169,0.1703470031545741
6,182,69,0.307,0.381,0.434,0.815,0.127,0.144345238095238
7,136,84,0.289,0.388,0.472,0.86,0.183,0.0930232558139534
8,156,101,0.284,0.391,0.511,0.902,0.227,0.0649546827794562
9,134,61,0.289,0.4,0.438,0.838,0.149,0.0812274368231047
10,137,36,0.276,0.327,0.397,0.724,0.121,0.1277777777777777
11,204,109,0.331,0.392,0.514,0.906,0.183,0.1426491994177583
12,173,94,0.299,0.397,0.413,0.81,0.114,0.0835734870317002
13,166,97,0.295,0.328,0.486,0.814,0.19,0.0794701986754966
14,168,90,0.312,0.388,0.521,0.909,0.21,0.1133004926108374
15,136,46,0.274,0.357,0.34,0.697,0.066,0.1024305555555555
16,121,43,0.248,0.339,0.314,0.653,0.066,0.0934744268077601
17,160,97,0.268,0.313,0.471,0.784,0.203,0.1085271317829457
18,154,103,0.274,0.372,0.481,0.853,0.208,0.0895295902883156
19,151,85,0.288,0.333,0.45,0.782,0.162,0.0524475524475524
20,147,63,0.296,0.323,0.435,0.758,0.139,0.0745697896749522
21,141,79,0.254,0.323,0.428,0.751,0.174,0.0175438596491228
22,161,83,0.274,0.32,0.423,0.743,0.15,0.0423197492163009
23,182,63,0.281,0.318,0.382,0.7,0.1,0.1266002844950213
24,180,47,0.282,0.335,0.359,0.694,0.077,0.0987124463519313
25,164,53,0.287,0.337,0.371,0.707,0.084,0.0337078651685393
26,201,105,0.306,0.342,0.441,0.783,0.135,0.1706629055007052
27,131,50,0.284,0.341,0.41,0.751,0.126,0.1042471042471042
28,126,62,0.254,0.346,0.398,0.744,0.145,0.0696864111498257
29,131,36,0.266,0.341,0.32,0.662,0.055,0.089126559714795
30,130,97,0.261,0.35,0.501,0.851,0.24,0.1153846153846153
31,179,43,0.277,0.353,0.369,0.723,0.093,0.0697674418604651
32,173,83,0.281,0.349,0.427,0.776,0.146,0.0768115942028985
33,139,61,0.263,0.306,0.386,0.692,0.123,0.0360205831903945
34,144,86,0.27,0.337,0.436,0.773,0.167,0.0785953177257525
35,149,28,0.286,0.333,0.359,0.692,0.073,0.0622775800711743
36,179,70,0.294,0.344,0.402,0.746,0.108,0.0917159763313609
37,136,34,0.289,0.345,0.37,0.715,0.081,0.1027131782945736
38,171,88,0.3,0.361,0.458,0.818,0.158,0.0953125
39,119,61,0.256,0.36,0.419,0.779,0.163,0.0723327305605786
40,157,68,0.275,0.342,0.377,0.719,0.102,0.0515625
41,172,54,0.271,0.312,0.372,0.683,0.101,0.0844250363901018
42,167,76,0.261,0.308,0.41,0.719,0.15,0.0328102710413694
43,169,52,0.278,0.319,0.379,0.698,0.102,0.0941704035874439
44,139,57,0.269,0.368,0.421,0.789,0.151,0.0742574257425742
45,176,86,0.282,0.301,0.418,0.718,0.136,0.0484848484848484
46,136,60,0.257,0.316,0.36,0.677,0.104,0.0188034188034188
47,132,59,0.248,0.324,0.35,0.674,0.102,0.0776699029126213
48,139,64,0.247,0.279,0.352,0.631,0.105,0.0549084858569051
49,145,104,0.282,0.323,0.45,0.773,0.169,0.0509666080843585
50,131,58,0.276,0.337,0.436,0.773,0.16,0.0209125475285171
51,178,55,0.279,0.314,0.369,0.683,0.091,0.0398818316100443
52,133,50,0.262,0.331,0.379,0.71,0.116,0.0864197530864197
53,128,59,0.239,0.309,0.313,0.623,0.075,0.0198019801980198
54,142,57,0.289,0.346,0.413,0.758,0.124,0.1012891344383057
55,149,39,0.271,0.316,0.319,0.634,0.047,0.0403361344537815
56,124,68,0.261,0.326,0.399,0.725,0.139,0.0244360902255639
57,127,62,0.242,0.274,0.336,0.61,0.094,0.0053667262969588
58,172,54,0.271,0.345,0.338,0.683,0.066,0.1111111111111111
59,143,47,0.26,0.303,0.359,0.662,0.098,0.0218487394957983
60,150,80,0.266,0.33,0.416,0.745,0.149,0.0527156549520766
61,136,70,0.247,0.309,0.367,0.676,0.12,-0.0345394736842105
62,109,99,0.204,0.285,0.432,0.717,0.228,-0.0477759472817133
63,158,44,0.245,0.292,0.315,0.606,0.07,-0.0127478753541076
64,123,29,0.246,0.302,0.305,0.606,0.058,0.0619307832422586
65,177,79,0.286,0.341,0.457,0.798,0.171,0.0947521865889212
67,136,109,0.255,0.399,0.524,0.923,0.27,0.0239162929745889
68,146,79,0.27,0.336,0.444,0.78,0.174,0.1034482758620689
69,189,113,0.299,0.338,0.539,0.877,0.24,0.1446991404011461
70,183,71,0.298,0.393,0.429,0.822,0.132,0.1583333333333333
71,189,92,0.318,0.385,0.463,0.848,0.145,0.0737951807228915
72,174,103,0.298,0.373,0.531,0.904,0.233,0.0647590361445783
73,145,39,0.271,0.371,0.364,0.736,0.093,0.0476947535771065
74,163,53,0.283,0.323,0.399,0.722,0.116,0.1476725521669342
75,145,82,0.277,0.378,0.516,0.894,0.239,0.1227495908346972
76,116,66,0.262,0.363,0.431,0.794,0.169,0.0096339113680154
77,156,98,0.284,0.342,0.434,0.776,0.149,0.0065359477124183
78,158,45,0.321,0.381,0.453,0.834,0.132,0.1316270566727605
79,163,70,0.301,0.338,0.435,0.773,0.135,0.0310344827586206
80,131,33,0.261,0.35,0.384,0.734,0.124,0.0941780821917808
81,139,22,0.276,0.36,0.324,0.684,0.048,0.1059829059829059
82,168,97,0.318,0.373,0.493,0.866,0.176,0.0858585858585858
83,134,50,0.243,0.321,0.335,0.657,0.092,0.1150159744408945
84,132,66,0.268,0.361,0.441,0.802,0.173,0.0836236933797909
85,154,70,0.304,0.355,0.444,0.798,0.14,0.0529100529100529
86,144,87,0.279,0.323,0.461,0.784,0.182,0.0053763440860215
87,136,44,0.292,0.343,0.428,0.771,0.135,0.11328125
88,143,38,0.293,0.371,0.385,0.756,0.092,0.1238779174147217
89,135,66,0.281,0.328,0.451,0.779,0.17,0.1068702290076335
90,156,70,0.269,0.335,0.434,0.769,0.165,0.0185471406491499
91,154,37,0.281,0.344,0.393,0.738,0.113,0.1092985318107667
92,138,84,0.271,0.315,0.48,0.795,0.21,0.0363636363636363
93,136,70,0.263,0.334,0.402,0.737,0.139,0.0608108108108108
94,165,48,0.261,0.316,0.351,0.667,0.09,0.0743919885550786
95,153,68,0.323,0.386,0.444,0.83,0.121,0.1452830188679245
96,134,76,0.259,0.376,0.406,0.782,0.147,-0.0304975922953451
97,112,51,0.247,0.352,0.444,0.795,0.196,0.0470809792843691
98,172,75,0.286,0.314,0.374,0.689,0.088,0.0190174326465927
99,185,58,0.297,0.337,0.368,0.705,0.071,0.0883233532934131
100,160,90,0.275,0.346,0.46,0.805,0.184,0.0699088145896656
101,138,73,0.26,0.346,0.395,0.742,0.136,0.086038961038961
102,135,52,0.251,0.327,0.358,0.684,0.106,0.004885993485342
103,184,84,0.3,0.347,0.41,0.757,0.111,0.1129518072289156
104,102,66,0.224,0.343,0.396,0.738,0.171,0.0349907918968692
105,175,41,0.281,0.342,0.35,0.692,0.069,0.0708092485549133
106,135,79,0.238,0.317,0.362,0.678,0.123,0.0496894409937888
107,161,70,0.302,0.378,0.46,0.838,0.158,0.0840064620355412
108,132,65,0.284,0.347,0.434,0.782,0.151,-0.0868725868725868
109,111,64,0.236,0.295,0.367,0.662,0.132,0.0465116279069767
110,133,43,0.266,0.312,0.338,0.65,0.072,0.128440366972477
111,175,66,0.28,0.31,0.436,0.746,0.157,0.1639097744360902
112,176,51,0.276,0.3,0.367,0.666,0.091,0.0392156862745098
113,125,78,0.28,0.366,0.481,0.847,0.201,0.0739299610894941
114,113,59,0.233,0.305,0.352,0.657,0.119,-0.0361010830324909
115,124,45,0.258,0.285,0.387,0.672,0.129,0.0078431372549019
116,145,58,0.264,0.322,0.384,0.707,0.12,-0.0065252854812398
117,145,90,0.241,0.289,0.419,0.708,0.178,0.0185471406491499
118,126,45,0.254,0.323,0.336,0.659,0.082,0.015929203539823
119,132,45,0.237,0.301,0.304,0.605,0.067,0.0648298217179902
120,123,47,0.233,0.303,0.28,0.583,0.047,-0.0067453625632377
121,128,30,0.24,0.317,0.307,0.624,0.067,0.0131578947368421
122,147,58,0.251,0.284,0.321,0.604,0.07,-0.0256410256410256
123,138,44,0.278,0.322,0.413,0.735,0.135,0.0241635687732342
124,154,69,0.279,0.311,0.411,0.722,0.132,0.0409556313993174
125,115,50,0.258,0.352,0.374,0.727,0.117,0.0285171102661596
126,121,45,0.245,0.316,0.286,0.602,0.041,0.0738738738738738
128,146,106,0.277,0.383,0.536,0.919,0.259,0.0617088607594936
129,175,106,0.294,0.366,0.487,0.853,0.193,0.116591928251121
130,192,60,0.309,0.393,0.437,0.83,0.129,0.128133704735376
131,213,71,0.351,0.41,0.444,0.853,0.092,0.1496296296296296
132,171,94,0.311,0.409,0.449,0.859,0.138,0.060882800608828
133,176,100,0.29,0.372,0.547,0.919,0.257,0.0520984081041968
134,187,95,0.312,0.381,0.462,0.842,0.15,0.1182481751824817
135,156,78,0.286,0.333,0.425,0.758,0.139,0.0709459459459459
136,146,75,0.278,0.317,0.465,0.782,0.187,0.0893169877408056
137,173,67,0.312,0.354,0.434,0.789,0.123,0.1558872305140962
138,157,81,0.315,0.368,0.507,0.875,0.192,0.1117216117216117
139,164,67,0.292,0.359,0.447,0.806,0.155,0.0803858520900321
140,143,72,0.246,0.311,0.395,0.706,0.149,0.0015552099533437
141,147,80,0.291,0.352,0.464,0.816,0.174,0.1234567901234567
142,122,66,0.25,0.34,0.395,0.736,0.145,0.043859649122807
143,166,50,0.291,0.325,0.394,0.719,0.103,0.0629139072847682
144,132,96,0.279,0.369,0.505,0.874,0.226,0.1040145985401459
145,152,70,0.321,0.362,0.464,0.826,0.143,0.0884615384615384
146,155,86,0.302,0.357,0.484,0.841,0.183,0.0053003533568904
147,143,41,0.261,0.341,0.356,0.697,0.095,0.0894568690095846
148,119,68,0.261,0.331,0.434,0.765,0.173,0.021484375
149,131,97,0.251,0.343,0.467,0.81,0.216,0.0016611295681063
150,191,69,0.272,0.307,0.442,0.749,0.17,0.0094979647218453
151,162,54,0.276,0.308,0.409,0.717,0.133,0.0743134087237479
152,143,82,0.291,0.41,0.428,0.838,0.136,0.0674342105263157
153,152,83,0.29,0.355,0.391,0.746,0.101,0.0324232081911262
154,134,94,0.256,0.315,0.421,0.736,0.164,0.003454231433506
155,132,86,0.248,0.301,0.409,0.71,0.161,0.0668953687821612
156,159,73,0.283,0.341,0.417,0.758,0.134,0.0375203915171288
157,135,55,0.301,0.38,0.434,0.814,0.134,0.1078998073217726
158,149,86,0.269,0.311,0.443,0.754,0.174,-0.0134453781512605
159,149,32,0.278,0.356,0.362,0.718,0.084,0.1111111111111111
160,154,34,0.258,0.342,0.329,0.671,0.07,0.1127167630057803
161,162,72,0.303,0.358,0.462,0.819,0.159,0.0488215488215488
162,154,49,0.276,0.335,0.346,0.681,0.07,0.0643086816720257
163,137,60,0.26,0.286,0.364,0.651,0.104,0.0700525394045534
164,127,65,0.257,0.315,0.438,0.753,0.182,0.0425138632162661
165,121,97,0.24,0.324,0.442,0.766,0.202,0.0258620689655172
166,138,74,0.254,0.357,0.389,0.746,0.134,0.0424528301886792
167,126,49,0.25,0.349,0.341,0.691,0.091,0.0288135593220339
168,173,94,0.285,0.328,0.41,0.738,0.125,0.0427480916030534
169,127,35,0.258,0.312,0.32,0.633,0.063,-0.0317757009345794
170,127,57,0.24,0.284,0.353,0.637,0.113,-0.0245614035087719
171,138,35,0.243,0.3,0.304,0.604,0.062,0.0739549839228295
172,138,80,0.279,0.326,0.422,0.748,0.143,0.0445269016697588
173,175,86,0.284,0.307,0.373,0.68,0.089,0.0689127105666156
174,157,48,0.266,0.295,0.327,0.621,0.061,0.0143084260731319
175,174,39,0.266,0.31,0.337,0.647,0.07,0.0441595441595441
176,119,51,0.254,0.328,0.358,0.686,0.104,-0.015267175572519
177,134,38,0.242,0.295,0.316,0.612,0.074,-0.0183028286189683
178,130,58,0.245,0.307,0.32,0.628,0.075,0.0083333333333333
179,156,87,0.32,0.422,0.577,0.999,0.257,0.1514629948364888
180,184,41,0.32,0.405,0.475,0.88,0.155,0.1639097744360902
181,216,82,0.353,0.384,0.503,0.887,0.15,0.1257668711656441
182,156,100,0.281,0.365,0.488,0.853,0.207,0.1374407582938388
183,186,83,0.305,0.364,0.504,0.868,0.199,0.1173848439821693
184,148,54,0.276,0.355,0.361,0.716,0.086,0.1203252032520325
185,127,53,0.296,0.407,0.42,0.826,0.124,0.11787072243346
186,198,125,0.312,0.365,0.551,0.916,0.239,0.1268011527377521
187,152,93,0.277,0.375,0.532,0.907,0.255,0.0635658914728682
188,180,110,0.302,0.379,0.416,0.795,0.114,0.1307471264367816
189,148,81,0.26,0.31,0.45,0.759,0.19,0.0842787682333873
190,183,91,0.309,0.384,0.43,0.814,0.121,0.1114369501466275
191,166,59,0.287,0.362,0.434,0.797,0.147,0.1004566210045662
192,185,111,0.3,0.388,0.539,0.927,0.239,0.0674157303370786
193,197,46,0.317,0.364,0.408,0.773,0.092,0.1445603576751117
194,138,52,0.266,0.369,0.405,0.773,0.139,0.0402576489533011
195,155,34,0.295,0.354,0.361,0.715,0.067,0.0410958904109589
196,130,72,0.253,0.362,0.434,0.796,0.181,0.0524590163934426
197,152,95,0.293,0.342,0.515,0.857,0.222,-0.0141843971631205
198,163,79,0.3,0.349,0.426,0.776,0.127,0.0711864406779661
199,115,61,0.261,0.363,0.42,0.784,0.159,0.0893203883495145
200,124,87,0.281,0.393,0.502,0.895,0.222,0.0639097744360902
201,130,56,0.27,0.349,0.412,0.761,0.141,0.0344827586206896
202,139,74,0.261,0.301,0.372,0.673,0.111,-0.0176991150442477
203,175,74,0.264,0.303,0.436,0.739,0.172,0.0324400564174894
204,167,102,0.275,0.311,0.424,0.735,0.15,0.0215384615384615
205,150,70,0.263,0.332,0.398,0.731,0.135,0.0376766091051805
206,170,40,0.267,0.32,0.335,0.655,0.068,0.0332369942196531
207,154,55,0.282,0.332,0.377,0.709,0.095,0.0218120805369127
208,136,59,0.249,0.284,0.361,0.645,0.112,0.0425894378194207
209,112,58,0.232,0.3,0.4,0.7,0.168,0.0205223880597014
210,115,33,0.254,0.342,0.347,0.688,0.093,0.1538461538461538
211,153,75,0.282,0.357,0.465,0.822,0.183,0.0230642504118616
212,163,100,0.269,0.31,0.413,0.723,0.144,0.0644171779141104
213,102,39,0.232,0.321,0.314,0.635,0.082,0.044921875
214,145,68,0.269,0.315,0.427,0.742,0.158,0.0979381443298969
215,135,91,0.255,0.295,0.444,0.739,0.189,0.043859649122807
216,134,69,0.24,0.285,0.306,0.591,0.066,0.0083056478405315
217,180,106,0.307,0.374,0.44,0.814,0.133,0.0944527736131934
218,129,50,0.268,0.311,0.405,0.716,0.137,0.1385199240986717
219,132,75,0.234,0.29,0.371,0.66,0.137,0.0373376623376623
220,129,89,0.267,0.333,0.499,0.832,0.232,0.1092592592592592
221,142,38,0.273,0.32,0.344,0.664,0.071,0.0609756097560975
222,119,77,0.263,0.331,0.46,0.792,0.197,0.0317460317460317
223,184,81,0.281,0.318,0.43,0.748,0.148,0.100143061516452
224,137,39,0.244,0.293,0.34,0.633,0.096,-0.0048387096774193
225,136,42,0.279,0.352,0.318,0.67,0.039,0.058076225045372
226,97,56,0.22,0.311,0.391,0.702,0.17,0.0297029702970297
227,141,48,0.252,0.314,0.33,0.645,0.079,0.032258064516129
228,119,21,0.254,0.315,0.316,0.631,0.062,0.0825335892514395
229,101,25,0.224,0.287,0.288,0.576,0.064,0.0257425742574257
230,130,72,0.264,0.327,0.407,0.734,0.142,0.029520295202952
231,124,51,0.268,0.317,0.4,0.717,0.132,0.0633663366336633
232,122,41,0.243,0.307,0.347,0.653,0.104,0.0285204991087344
233,116,63,0.232,0.316,0.408,0.724,0.176,0.0
234,163,70,0.274,0.325,0.375,0.7,0.101,0.1319018404907975
235,113,26,0.237,0.285,0.315,0.601,0.078,0.0311890838206627
236,136,29,0.257,0.295,0.302,0.597,0.045,0.0141843971631205
237,141,58,0.248,0.272,0.333,0.604,0.085,0.042016806722689
238,122,62,0.241,0.272,0.393,0.664,0.152,-0.0338983050847457
239,211,59,0.329,0.381,0.467,0.848,0.139,0.1797432239657632
240,194,62,0.334,0.413,0.476,0.889,0.141,0.1280120481927711
242,171,83,0.31,0.413,0.446,0.859,0.136,0.111963190184049
243,184,79,0.311,0.357,0.486,0.842,0.174,0.1078125
244,144,54,0.28,0.376,0.333,0.709,0.053,0.1034482758620689
245,186,98,0.305,0.379,0.48,0.859,0.175,0.1405797101449275
246,210,56,0.332,0.39,0.441,0.83,0.109,0.1221590909090909
247,174,78,0.301,0.363,0.394,0.757,0.093,0.091743119266055
248,161,96,0.288,0.358,0.504,0.862,0.216,0.1076443057722308
249,152,101,0.265,0.344,0.493,0.837,0.228,0.1299694189602446
250,132,74,0.25,0.3,0.428,0.728,0.178,0.0017211703958691
251,167,49,0.29,0.355,0.431,0.786,0.141,0.0976744186046511
252,147,52,0.288,0.356,0.406,0.762,0.118,0.0442477876106194
253,146,70,0.278,0.375,0.416,0.791,0.139,0.0307443365695792
254,125,105,0.255,0.337,0.439,0.776,0.184,0.1012216404886562
255,123,93,0.259,0.358,0.507,0.865,0.248,-0.0106761565836298
256,158,75,0.278,0.362,0.445,0.807,0.167,0.1404580152671755
257,140,77,0.268,0.341,0.45,0.791,0.182,0.0981387478849407
258,152,37,0.276,0.368,0.373,0.741,0.096,0.1137071651090342
259,147,88,0.274,0.334,0.482,0.816,0.209,0.0539629005059021
260,178,76,0.284,0.33,0.411,0.741,0.128,0.0527859237536656
261,157,78,0.266,0.302,0.448,0.751,0.183,0.0189573459715639
262,136,48,0.27,0.373,0.36,0.733,0.089,0.0906040268456375
263,116,62,0.246,0.35,0.403,0.752,0.157,0.0089285714285714
264,145,76,0.298,0.351,0.424,0.775,0.126,0.0462107208872458
265,129,56,0.272,0.327,0.38,0.707,0.108,0.0558766859344894
266,112,71,0.233,0.308,0.396,0.704,0.163,0.0352504638218923
267,133,72,0.278,0.351,0.403,0.754,0.125,-0.003731343283582
268,158,84,0.271,0.319,0.413,0.732,0.142,0.0438184663536776
269,141,78,0.284,0.338,0.478,0.815,0.194,0.0732600732600732
270,149,47,0.271,0.328,0.37,0.698,0.098,-0.0032520325203252
271,163,83,0.265,0.347,0.477,0.824,0.212,0.01878612716763
272,141,61,0.252,0.342,0.331,0.673,0.079,0.0139103554868624
273,101,43,0.223,0.315,0.28,0.596,0.057,-0.0212765957446808
274,135,44,0.258,0.325,0.356,0.68,0.098,0.0017064846416382
275,127,48,0.256,0.306,0.37,0.676,0.115,0.0352504638218923
276,141,87,0.273,0.336,0.472,0.808,0.199,0.0808950086058519
277,138,59,0.239,0.279,0.306,0.585,0.067,0.0463258785942492
278,139,29,0.232,0.301,0.28,0.581,0.048,0.0253731343283582
279,174,116,0.273,0.33,0.477,0.807,0.204,0.04
280,127,65,0.262,0.35,0.452,0.803,0.19,0.0233393177737881
281,145,68,0.25,0.278,0.411,0.69,0.162,0.0147299509001636
282,96,36,0.219,0.32,0.262,0.581,0.043,-0.0745098039215686
283,119,33,0.24,0.273,0.335,0.608,0.095,0.0509433962264151
284,126,44,0.247,0.296,0.308,0.603,0.061,-0.0346083788706739
285,142,81,0.255,0.284,0.408,0.692,0.153,0.0496575342465753
286,159,79,0.271,0.326,0.384,0.71,0.113,0.1012269938650306
287,218,54,0.37,0.447,0.511,0.958,0.141,0.2058823529411764
288,167,105,0.295,0.417,0.58,0.997,0.284,0.0735930735930736
289,139,100,0.293,0.399,0.593,0.991,0.3,0.0889679715302491
290,175,68,0.33,0.429,0.526,0.955,0.196,0.2089314194577352
291,182,75,0.303,0.392,0.383,0.775,0.08,0.1586402266288951
292,153,113,0.293,0.388,0.548,0.936,0.255,0.1158238172920065
293,120,106,0.286,0.459,0.597,1.055,0.31,0.0232558139534883
294,151,104,0.284,0.398,0.583,0.981,0.299,0.096875
295,144,59,0.261,0.329,0.492,0.821,0.23,0.1292962356792144
296,165,82,0.293,0.359,0.507,0.866,0.215,0.0617088607594936
297,184,89,0.338,0.416,0.539,0.955,0.202,0.092063492063492
298,147,99,0.265,0.364,0.504,0.868,0.238,0.0604651162790697
299,177,79,0.283,0.365,0.406,0.772,0.123,0.0834492350486787
300,163,91,0.308,0.371,0.58,0.951,0.272,0.1020408163265306
301,177,123,0.298,0.343,0.514,0.858,0.216,0.0978260869565217
302,154,84,0.277,0.404,0.473,0.877,0.196,0.1013215859030837
303,178,100,0.272,0.335,0.502,0.837,0.231,0.0426997245179063
304,170,89,0.29,0.377,0.436,0.813,0.147,0.0458579881656804
306,140,91,0.313,0.406,0.488,0.894,0.174,0.0284629981024667
307,159,43,0.302,0.351,0.425,0.776,0.123,0.0713043478260869
308,164,79,0.3,0.324,0.467,0.791,0.167,0.0087412587412587
309,165,63,0.281,0.361,0.435,0.796,0.155,0.0872781065088757
310,140,77,0.3,0.351,0.481,0.832,0.18,0.087378640776699
311,168,85,0.284,0.344,0.449,0.793,0.166,0.0932721712538226
312,167,96,0.286,0.36,0.412,0.772,0.125,0.0794602698650674
313,134,82,0.27,0.3,0.421,0.722,0.151,0.0377358490566037
314,122,38,0.265,0.343,0.364,0.707,0.1,0.1032504780114722
315,154,61,0.312,0.397,0.472,0.869,0.16,0.1219512195121951
316,168,90,0.305,0.361,0.459,0.821,0.154,0.0016501650165016
317,167,63,0.296,0.352,0.415,0.767,0.119,0.1084529505582137
318,117,38,0.264,0.378,0.381,0.76,0.117,0.0975609756097561
319,180,43,0.289,0.363,0.358,0.721,0.069,0.0313390313390313
320,163,95,0.276,0.318,0.495,0.813,0.219,0.1283255086071987
321,148,70,0.284,0.369,0.425,0.794,0.142,0.1222780569514237
322,154,59,0.294,0.367,0.442,0.809,0.147,0.0766609880749574
323,134,36,0.292,0.372,0.418,0.79,0.126,0.0153846153846153
324,122,70,0.273,0.372,0.43,0.802,0.157,0.0285714285714285
325,125,76,0.25,0.344,0.442,0.786,0.192,0.0311418685121107
326,142,65,0.275,0.336,0.411,0.747,0.136,0.0629370629370629
327,123,83,0.235,0.29,0.392,0.682,0.157,0.0383944153577661
328,150,88,0.266,0.309,0.465,0.775,0.199,0.0879478827361563
329,114,67,0.245,0.313,0.399,0.712,0.155,-0.0463320463320463
330,145,93,0.251,0.31,0.458,0.769,0.208,0.0787401574803149
331,177,105,0.285,0.312,0.434,0.746,0.148,0.0690184049079754
332,150,54,0.264,0.308,0.381,0.689,0.118,0.01628664495114
333,141,63,0.28,0.309,0.467,0.776,0.187,0.1016949152542373
334,113,48,0.222,0.281,0.296,0.577,0.075,-0.0481283422459893
335,171,46,0.28,0.331,0.369,0.7,0.089,0.0874811463046757
336,142,48,0.28,0.342,0.362,0.704,0.083,0.1130742049469964
337,134,83,0.263,0.346,0.331,0.677,0.069,0.0702341137123745
338,144,74,0.27,0.329,0.411,0.74,0.141,0.1067796610169491
339,149,97,0.253,0.311,0.433,0.744,0.18,0.0417310664605873
340,169,100,0.288,0.345,0.506,0.851,0.218,0.0575757575757575
341,174,56,0.296,0.347,0.429,0.776,0.133,0.1779141104294478
343,163,43,0.287,0.393,0.398,0.791,0.111,0.1281296023564064
344,155,51,0.27,0.35,0.336,0.686,0.066,0.1016442451420029
345,162,109,0.282,0.386,0.508,0.894,0.226,0.0566037735849056
346,184,92,0.302,0.352,0.54,0.893,0.238,0.037821482602118
347,152,58,0.283,0.368,0.491,0.859,0.208,0.1205211726384364
348,146,101,0.269,0.366,0.545,0.911,0.276,0.0671875
349,160,100,0.274,0.366,0.476,0.842,0.202,0.0998531571218795
350,144,64,0.291,0.397,0.463,0.86,0.172,0.0831918505942275
351,146,44,0.271,0.314,0.414,0.728,0.143,0.1288659793814432
352,129,93,0.273,0.363,0.489,0.852,0.216,0.007366482504604
353,179,79,0.303,0.344,0.504,0.849,0.201,0.10625
354,163,69,0.264,0.322,0.419,0.741,0.155,0.0530191458026509
355,159,99,0.288,0.336,0.496,0.832,0.208,0.1416666666666666
356,152,99,0.271,0.341,0.478,0.818,0.207,0.0899053627760252
357,145,41,0.266,0.328,0.382,0.709,0.116,0.0654664484451718
358,164,90,0.279,0.318,0.447,0.766,0.168,0.0159235668789808
359,122,46,0.248,0.282,0.362,0.643,0.114,0.0018975332068311
360,152,69,0.257,0.302,0.389,0.69,0.132,0.0203125
361,163,70,0.313,0.373,0.415,0.787,0.102,0.1003460207612456
362,114,68,0.23,0.343,0.422,0.765,0.192,0.0454545454545454
363,119,53,0.248,0.338,0.333,0.671,0.085,0.0579710144927536
364,127,80,0.251,0.319,0.442,0.76,0.19,0.0459363957597173
365,134,77,0.226,0.313,0.421,0.734,0.194,0.022354694485842
366,150,82,0.277,0.314,0.445,0.758,0.168,0.0329289428076256
367,126,48,0.264,0.323,0.384,0.707,0.119,-0.0148148148148148
368,125,46,0.277,0.35,0.35,0.7,0.073,0.027027027027027
369,178,53,0.307,0.349,0.436,0.785,0.129,0.151033386327504
370,122,65,0.264,0.328,0.409,0.737,0.145,0.0632183908045977
371,130,64,0.263,0.32,0.395,0.715,0.132,-0.0440366972477064
372,160,49,0.262,0.308,0.324,0.632,0.062,0.0553892215568862
373,133,51,0.263,0.308,0.372,0.68,0.109,0.0531135531135531
374,150,56,0.264,0.341,0.392,0.733,0.128,0.0261941448382126
375,122,73,0.252,0.306,0.414,0.72,0.163,0.0694183864915572
376,175,57,0.277,0.325,0.343,0.668,0.066,0.0684133915574963
377,163,78,0.293,0.358,0.412,0.77,0.119,0.0579710144927536
378,164,50,0.292,0.329,0.372,0.701,0.08,0.0366666666666666
379,146,60,0.259,0.317,0.439,0.755,0.179,0.0355987055016181
380,138,72,0.255,0.314,0.39,0.704,0.135,0.0588235294117647
381,148,37,0.257,0.334,0.325,0.658,0.068,0.065648854961832
382,144,57,0.296,0.371,0.403,0.774,0.107,0.1018181818181818
383,156,59,0.276,0.298,0.378,0.677,0.102,0.0519262981574539
384,110,46,0.242,0.301,0.358,0.659,0.116,0.0318091451292246
385,124,35,0.252,0.301,0.318,0.62,0.067,-0.0037383177570093
386,142,52,0.268,0.321,0.37,0.691,0.102,0.0998307952622673
387,164,74,0.3,0.338,0.4,0.739,0.101,0.0840336134453781
388,137,66,0.242,0.283,0.389,0.671,0.147,0.0462809917355371
389,160,38,0.26,0.313,0.339,0.652,0.08,-0.0014727540500736
390,127,68,0.255,0.311,0.377,0.688,0.122,0.0
391,143,56,0.249,0.271,0.357,0.627,0.108,-0.001669449081803
392,153,67,0.243,0.298,0.38,0.678,0.137,-0.0437956204379562
393,131,64,0.256,0.305,0.331,0.636,0.074,0.0302491103202846
394,153,68,0.252,0.268,0.36,0.628,0.107,-0.0063795853269537
395,196,111,0.333,0.407,0.546,0.953,0.213,0.1051851851851851
396,152,79,0.315,0.415,0.533,0.948,0.218,0.0918544194107452
397,144,58,0.248,0.351,0.426,0.777,0.178,0.0913107511045655
398,164,101,0.287,0.369,0.559,0.928,0.271,0.0885496183206106
400,162,50,0.273,0.335,0.361,0.696,0.088,0.1280120481927711
401,176,76,0.29,0.356,0.497,0.853,0.206,0.1175595238095238
402,162,48,0.291,0.375,0.372,0.747,0.081,0.0553846153846153
403,132,50,0.241,0.321,0.4,0.721,0.159,0.0129032258064516
404,140,78,0.259,0.376,0.461,0.837,0.202,0.0690184049079754
405,156,89,0.269,0.35,0.492,0.842,0.224,0.0377073906485671
406,158,68,0.29,0.34,0.393,0.733,0.103,0.015228426395939
